title,link,views,week_day,day,month,year,hour,minute,second
شیر دوباره گران شد؟,https://www.iranjib.ir/shownews/139079/شیر-دوباره-گران-شد؟/,1152,دوشنبه,26,آبان,1404,22,54,18
قیمت انواع میوه در بازار امروز,https://www.iranjib.ir/shownews/139078/قیمت-انواع-میوه-در-بازار-امروز/,680,دوشنبه,26,آبان,1404,22,34,47
شغل های پردرآمد در ایران کدامند؟,https://www.iranjib.ir/shownews/139077/شغل-های-پردرآمد-در-ایران-کدامند؟/,5038,دوشنبه,26,آبان,1404,21,54,4
قانون جدید مهریه اعلام شد,https://www.iranjib.ir/shownews/139076/قانون-جدید-مهریه-اعلام-شد/,6766,دوشنبه,26,آبان,1404,21,30,11
پرداخت خسارت‌های بیمه‌ای رکورد شکست,https://www.iranjib.ir/shownews/139075/پرداخت-خسارت‌های-بیمه‌ای-رکورد-شکست/,787,دوشنبه,26,آبان,1404,21,7,59
عامل اصلی ناترازی بنزین چیست؟,https://www.iranjib.ir/shownews/139074/عامل-اصلی-ناترازی-بنزین-چیست؟/,598,دوشنبه,26,آبان,1404,20,43,42
خودروهای چینی باب شد؟,https://www.iranjib.ir/shownews/139073/خودروهای-چینی-باب-شد؟/,3726,دوشنبه,26,آبان,1404,19,57,20
جزئیات جدید از انفجار بندر شهید رجایی,https://www.iranjib.ir/shownews/139072/جزئیات-جدید-از-انفجار-بندر-شهید-رجایی/,2531,دوشنبه,26,آبان,1404,19,28,34
خبر خوش برای کارگران صنایع,https://www.iranjib.ir/shownews/139071/خبر-خوش-برای-کارگران-صنایع/,1364,دوشنبه,26,آبان,1404,18,55,48
علت گرانی برنج چیست؟,https://www.iranjib.ir/shownews/139070/علت-گرانی-برنج-چیست؟/,1504,دوشنبه,26,آبان,1404,18,24,8
لاستیک 7 درصد گران شد,https://www.iranjib.ir/shownews/139069/لاستیک-7-درصد-گران-شد/,2133,دوشنبه,26,آبان,1404,17,48,47
نهمین عرضه اولیه امسال شنبه برگزار می گردد,https://www.iranjib.ir/shownews/139068/نهمین-عرضه-اولیه-امسال-شنبه-برگزار-می-گردد/,2155,دوشنبه,26,آبان,1404,17,11,49
قیمت جدید خودرو وویا فری 2025 اعلام شد,https://www.iranjib.ir/shownews/139067/قیمت-جدید-خودرو-وویا-فری-2025-اعلام-شد/,7345,دوشنبه,26,آبان,1404,16,11,28
خودرو جدید 212 بزودی در بازار ایران + مشخصات,https://www.iranjib.ir/shownews/139065/خودرو-جدید-212-بزودی-در-بازار-ایران-+-مشخصات/,5833,دوشنبه,26,آبان,1404,15,14,15
چرا دولت به فکر اصلاح قیمت بنزین است؟,https://www.iranjib.ir/shownews/139064/چرا-دولت-به-فکر-اصلاح-قیمت-بنزین-است؟/,1382,دوشنبه,26,آبان,1404,14,55,12
ابلاغ حذف عوارض آب مجازی از 5 محصول آب‌بر کشاورزی,https://www.iranjib.ir/shownews/139063/ابلاغ-حذف-عوارض-آب-مجازی-از-5-محصول-آب‌بر-کشاورزی/,2505,دوشنبه,26,آبان,1404,14,15,42
هزینه جدید ساخت هر متر مربع مسکن در تهران اعلام شد,https://www.iranjib.ir/shownews/139066/هزینه-جدید-ساخت-هر-متر-مربع-مسکن-در-تهران-اعلام-شد/,23733,دوشنبه,26,آبان,1404,13,21,27
قیمت سکه و طلا امروز دوشنبه 1404/08/26,https://www.iranjib.ir/shownews/139062/قیمت-سکه-و-طلا-امروز-دوشنبه-1404-08-26/,40798,دوشنبه,26,آبان,1404,12,59,52
تایید افزایش چشمگیر حقوق بازنشستگان,https://www.iranjib.ir/shownews/139061/تایید-افزایش-چشمگیر-حقوق-بازنشستگان/,10016,دوشنبه,26,آبان,1404,12,46,51
پژمان جمشیدی احضار نشد، خودش برگشت,https://www.iranjib.ir/shownews/139060/پژمان-جمشیدی-احضار-نشد،-خودش-برگشت/,1305,دوشنبه,26,آبان,1404,11,46,48
خودروسازی سایپا در کانون مطالبه‌ جدید رئیس جمهور,https://www.iranjib.ir/shownews/139059/خودروسازی-سایپا-در-کانون-مطالبه‌-جدید-رئیس-جمهور-/,4215,دوشنبه,26,آبان,1404,11,44,19
شرایط جدید اقساطی وانت نیسان زامیاد جدید,https://www.iranjib.ir/shownews/139058/شرایط-جدید-اقساطی-وانت-نیسان-زامیاد-جدید-/,5859,دوشنبه,26,آبان,1404,11,35,28
الجزیره: ایران برای هر سناریوی نفتی آماده است,https://www.iranjib.ir/shownews/139057/الجزیره:-ایران-برای-هر-سناریوی-نفتی-آماده-است/,3021,دوشنبه,26,آبان,1404,11,18,10
میزان خسارت خودروهای سواری در جنگ 12 روزه,https://www.iranjib.ir/shownews/139056/میزان-خسارت-خودروهای-سواری-در-جنگ-12-روزه-/,3040,دوشنبه,26,آبان,1404,10,49,23
قیمت جدید انواع مدل‌های لاستیک بارز 1404/08/26,https://www.iranjib.ir/shownews/139055/قیمت-جدید-انواع-مدل‌های-لاستیک-بارز-1404-08-26/,14941,دوشنبه,26,آبان,1404,10,42,45
قیمت جدید انواع تلویزیون سونی در بازار 1404/08/26,https://www.iranjib.ir/shownews/139054/قیمت-جدید-انواع-تلویزیون-سونی-در-بازار-1404-08-26/,8344,دوشنبه,26,آبان,1404,9,39,1
درآمد ۹۳ میلیون تومانی رانندگان در تپسی,https://www.iranjib.ir/shownews/139053/درآمد-۹۳-میلیون-تومانی-رانندگان-در-تپسی/,1624,دوشنبه,26,آبان,1404,9,36,1
بیمه بدنه شامل چه چیزهایی می‌شود؟ قطعات و پوشش‌های کامل,https://www.iranjib.ir/shownews/139052/بیمه-بدنه-شامل-چه-چیزهایی-می‌شود؟-قطعات-و-پوشش‌های-کامل/,436,دوشنبه,26,آبان,1404,9,32,45
بهای طلا امروز دوشنبه در بازارهای جهانی,https://www.iranjib.ir/shownews/139051/بهای-طلا-امروز-دوشنبه-در-بازارهای-جهانی/,6123,دوشنبه,26,آبان,1404,9,22,25
هوش مصنوعی گوگل اکنون ایمیل‌ها و مدارک را تحلیل می‌کند,https://www.iranjib.ir/shownews/139050/هوش-مصنوعی-گوگل-اکنون-ایمیل‌ها-و-مدارک-را-تحلیل-می‌کند/,816,دوشنبه,26,آبان,1404,9,16,39
هشدار درباره خطر خالی‌فروشی آنلاین طلا,https://www.iranjib.ir/shownews/139049/هشدار-درباره-خطر-خالی‌فروشی-آنلاین-طلا/,1280,دوشنبه,26,آبان,1404,9,7,32
نوسازی ناوگان حمل‌ و نقل عمومی با تکیه بر تولید داخلی,https://www.iranjib.ir/shownews/139048/نوسازی-ناوگان-حمل‌-و-نقل-عمومی-با-تکیه-بر-تولید-داخلی/,1163,دوشنبه,26,آبان,1404,9,3,25
سفر ولیعهد سعودی به واشنگتن و تغییر موازنه نظامی خاورمیانه,https://www.iranjib.ir/shownews/139047/سفر-ولیعهد-سعودی-به-واشنگتن-و-تغییر-موازنه-نظامی-خاورمیانه/,730,دوشنبه,26,آبان,1404,8,16,12
جهش چين، مقاومت ايران، بازآرايی روسيه,https://www.iranjib.ir/shownews/139046/جهش-چين،-مقاومت-ايران،-بازآرايی-روسيه/,3911,دوشنبه,26,آبان,1404,8,8,46
