key,kind,title,description,url,pub_date,duration,item_count,image_url,image_srcset,image_placeholder_color,categories,rank,bookmarked,progress,viewed_at,completed,in_progress
1,post,Polars vs pandas: What's the Difference?,"Discover the key differences in Polars vs pandas to help you choose the right Python library for faster, more efficient data analysis.",/polars-vs-pandas/,,1954.42623,,https://files.realpython.com/media/Polars-vs-Pandas_Watermarked.0021a1a79975.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Polars-vs-Pandas_Watermarked.0021a1a79975.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Polars-vs-Pandas_Watermarked.0021a1a79975.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Polars-vs-Pandas_Watermarked.0021a1a79975.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Polars-vs-Pandas_Watermarked.0021a1a79975.jpg 1920w",#ffc873,"['intermediate', 'data-science', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
2,reference_area,AI Coding Tools,Popular AI coding tools with growing impact on modern software development workflows.,/ref/ai-coding-tools/,,,30.0,,,#b8abe5,[],0.14,False,0.0,1970-01-01T00:00:01+00:00,False,False
3,course,Python Descriptors,"Learn what Python descriptors are, how the descriptor protocol works, and when descriptors are useful—with practical, hands-on examples.",/courses/python-descriptors/,2025-10-14T14:00:00+00:00,2604.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.1,False,0.0,1970-01-01T00:00:01+00:00,False,False
4,lesson,Python Descriptors › Discussing the Song Class,"Course lesson from: ""Python Descriptors""",/videos/discussing-song-class/,2025-10-14T14:00:00+00:00,166.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
5,lesson,Python Descriptors › Adjusting Attribute Names,"Course lesson from: ""Python Descriptors""",/lessons/adjusting-attribute-names/,2025-10-14T14:00:00+00:00,166.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
6,lesson,Python Descriptors › Avoiding More Hard Coding: Input Parameters,"Course lesson from: ""Python Descriptors""",/lessons/avoiding-hard-coding-input-parameters/,2025-10-14T14:00:00+00:00,146.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
7,lesson,Python Descriptors › Python Descriptors (Summary),"Course lesson from: ""Python Descriptors""",/lessons/python-descriptors-summary/,2025-10-14T14:00:00+00:00,143.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
8,lesson,Python Descriptors › Python Descriptors (Overview),"Course lesson from: ""Python Descriptors""",/videos/python-descriptors-overview/,2025-10-14T14:00:00+00:00,137.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
9,lesson,Python Descriptors › Discussing the Descriptor Ouput,"Course lesson from: ""Python Descriptors""",/lessons/discussing-descriptor-ouput/,2025-10-14T14:00:00+00:00,294.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
10,lesson,Python Descriptors › Creating a Descriptor Class,"Course lesson from: ""Python Descriptors""",/videos/creating-descriptor-class/,2025-10-14T14:00:00+00:00,194.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
11,lesson,"Python Descriptors › Discussing self, obj, objtype, & value","Course lesson from: ""Python Descriptors""",/lessons/discussing-self-obj-objtype-value/,2025-10-14T14:00:00+00:00,90.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
12,lesson,Python Descriptors › Updating the Descriptor Class,"Course lesson from: ""Python Descriptors""",/lessons/updating-descriptor-class/,2025-10-14T14:00:00+00:00,319.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
13,lesson,Python Descriptors › Introducing Descriptors,"Course lesson from: ""Python Descriptors""",/videos/introducing-descriptors/,2025-10-14T14:00:00+00:00,314.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
14,lesson,Python Descriptors › Testing Final Code,"Course lesson from: ""Python Descriptors""",/lessons/testing-final-descriptor-code/,2025-10-14T14:00:00+00:00,144.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
15,lesson,Python Descriptors › Examining the Lookup Chain,"Course lesson from: ""Python Descriptors""",/lessons/descriptor-lookup-chain/,2025-10-14T14:00:00+00:00,308.0,,https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg,"/cdn-cgi/image/width=480,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 480w, /cdn-cgi/image/width=640,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 640w, /cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 960w, /cdn-cgi/image/width=1920,format=auto/https://files.realpython.com/media/Python-Descriptors_Watermarked_1.ec0d674f97e5.jpg 1920w",#ff7e74,"['intermediate', 'python']",0.0,False,0.0,1970-01-01T00:00:01+00:00,False,False
